City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
136,Phulji,PK,65.73,clear sky,26.8825,67.6807,Irfan hotel Phulji
137,Saldanha,ZA,69.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
138,Codrington,AU,63.93,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
140,Cabo San Lucas,MX,77.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
141,Santo Amaro Da Imperatriz,BR,86.95,clear sky,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
142,Morant Bay,JM,87.42,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
143,Stornoway,GB,44.56,moderate rain,58.2093,-6.3865,Caladh Inn
144,Kerman,IR,48.06,broken clouds,30.2832,57.0788,هتل آپارتمان آسام
145,Olinda,BR,87.53,few clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
146,Vestmannaeyjar,IS,34.79,broken clouds,63.4427,-20.2734,Glamping & Camping
147,Banda Aceh,ID,77.9,scattered clouds,5.5577,95.3222,Sulthan Hotel International
148,Kaspiyskiy,RU,41.14,overcast clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
149,Champerico,GT,92.77,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
150,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
152,Kirra,GR,55.8,overcast clouds,38.4333,22.45,Trokadero Hotel
153,Cody,US,26.2,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
154,Cabedelo,BR,88.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
156,Wenling,CN,49.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
157,Tura,IN,55.62,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
159,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
160,Pacific Grove,US,69.31,clear sky,36.6177,-121.9166,Lovers Point Inn
161,Black River,JM,84.2,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
163,Coquimbo,CL,69.53,few clouds,-29.9533,-71.3436,Hostel Del Puerto
164,Nanakuli,US,72.72,clear sky,21.3906,-158.1547,Camp Pālehua
165,Katobu,ID,75.11,overcast clouds,-4.9408,122.5276,La Ode Husein
166,Pitimbu,BR,88.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
167,Sept-Iles,CA,35.06,broken clouds,50.2001,-66.3821,Comfort Inn
169,Ahipara,NZ,68.52,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
170,Komsomolskiy,UZ,40.42,fog,40.4272,71.7189,Ikathouse
171,Qurayyat,SA,55.58,clear sky,31.3318,37.3428,Resorts Kandel
172,Youghal,IE,49.68,overcast clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
174,Katsuura,JP,41.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
175,Mahon,ES,54.16,clear sky,39.8885,4.2658,ARTIEM Capri
176,Comodoro Rivadavia,AR,84.06,clear sky,-45.8667,-67.5,Austral Hotel
177,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
178,Broome,US,45.18,light snow,42.2506,-75.833,Chenango Valley State Park
180,Moerai,PF,79.29,overcast clouds,-22.4333,-151.3333,Le Manotel
181,Victoria,HK,68.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
